"06 NOV 2025","16:24:25","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 11/01/22 through 10/31/23",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",

"SC7575","05/09/23","INSTL","77950","NAGLE SIGNS  INC.","140.00","128.71","11.29","8.06","","","","","","","","437","IOWA VALLEY COMMUNITY COLLEGE CAMPUS - NAGLE SGINS","MARSHALLTOWN","IA",
"","","INSTL","","Product Totals","140.00","128.71","11.29","8.06","0.00","",

"11013","12/08/22","MISC","5542","UNISHIPPERS","495.09","295.38","199.71","40.34","","","","","","","","DEFAULT","TSS","Warren","MI",
"11248","05/03/23","MISC","6109","REIS SIGN SERVICE","35.00","11.10","23.90","68.29","","","","","","","","DEFAULT","REIS SIGN SERVICE","WINTERSET","IA",
"11354","08/10/23","MISC","5866","TIMBER CREEK THERAPIES","154.50","103.00","51.50","33.33","-165.32","","","","","","","DEFAULT","TIMBER CREEK THERAPIES","GUTHRIE CENTER","IA",
"11379","09/06/23","MISC","4779","EAGLE SIGN CO.","0.00","472.64","-472.64","","","","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"11431","08/17/23","MISC","6109","REIS SIGN SERVICE","87.80","44.40","43.40","49.43","","","","","","","","DEFAULT","REIS SIGN SERVICE","WINTERSET","IA",
"","","MISC","","Product Totals","772.39","926.52","-154.13","-19.95","-165.32","",

"SC7490","01/31/23","SRVCE","77950","NAGLE SIGNS  INC.","192.50","176.98","15.52","8.06","","","","","","","","461","KWIK STAR # 1068","STORY CITY","IA",
"SC7659","07/27/23","SRVCE","5033","TIME O MATIC- WATCHFIRE","0.00","0.00","0.00","","","","","","","","","4","SUCCESS BANK - WATCHFIRE","BLOOMFIELD","IA",
"SC7668","06/16/23","SRVCE","6105","HAYE'S DESIGN COMPANY","0.00","391.30","-391.30","","","","","","","","","1","BECK´S","BAYARD","IA",
"","","SRVCE","","Product Totals","192.50","568.28","-375.78","-195.21","0.00","",

"SC7372","11/04/22","WARMFG","3340","MITCHELL FAMILY FUNERAL HOME","0.00","64.35","-64.35","","","","","","","","","DEFAULT","MITCHELL FAMILY FUNERAL HOME","MARSHALLTOWN","IA",
"SC7607","05/11/23","WARMFG","5330","SMASH PARK","0.00","96.53","-96.53","","","","","","","","","DEFAULT","SMASH PARK","WEST DES MOINES","IA",
"","","WARMFG","","Product Totals","0.00","160.88","-160.88","","0.00","",

