"06 NOV 2025","16:25:48","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 11/01/19 through 10/31/20",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",

"9874","08/27/20","01","3302","RON FULLER","35.00","0.00","35.00","100.00","","","","","","","","DEFAULT","RON FULLER","DES MOINES","IA",
"","","01","","Product Totals","35.00","0.00","35.00","100.00","0.00","",

"9777","06/03/20","ALUM","5672","RANDY MC CROSKEY","131.20","131.20","0.00","0.00","","","","","","","","DEFAULT","RANDY MC CROSKEY","GRIMES","IA",
"","","ALUM","","Product Totals","131.20","131.20","0.00","0.00","0.00","",

"9556","01/06/20","MISC","5599","METHODIST HOSPITAL","115.00","114.94","0.06","0.05","","","","","","","","DEFAULT","METHODIST HOSPITAL","DES MOINES","IA",
"9659","03/20/20","MISC","2906","AMERICAN MARKING","148.50","83.58","64.92","43.72","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"9736","05/31/20","MISC","5657","ERNIE HOCKENBERRY","27.85","27.85","0.00","0.00","","","","","","","","DEFAULT","ERNIE HOCKENBERRY","GRIMES","IA",
"9775","06/05/20","MISC","4779","EAGLE SIGN CO.","0.00","107.25","-107.25","","","","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"9777","06/03/20","MISC","5672","RANDY MC CROSKEY","15.72","15.72","0.00","0.00","","","","","","","","DEFAULT","RANDY MC CROSKEY","GRIMES","IA",
"9787","07/14/20","MISC","3454","MIKE REIS","175.37","175.37","0.00","0.00","","","","","","","","DEFAULT","MIKE REIS","DES MOINES","IA",
"9835","07/29/20","MISC","5691","RYAN KESSLER","30.00","12.60","17.40","58.00","","","","","","","","DEFAULT","RYAN KESSLER","GRIMES","IA",
"9878","09/04/20","MISC","3302","RON FULLER","241.80","136.83","104.97","43.41","","","","","","","","DEFAULT","RON FULLER","DES MOINES","IA",
"9943","10/26/20","MISC","5732","DARRELL KITTERMAN","187.83","104.49","83.34","44.37","","","","","","","","DEFAULT","DARRELL KITTERMAN","NORWALK","IA",
"","","MISC","","Product Totals","942.07","778.63","163.44","17.35","0.00","",

"SC6075","03/01/20","SRVCE","5591","COLD STONE CREAMERY","0.00","84.06","-84.06","","","","","","","","","DEFAULT","COLD STONE CREAMERY","ALTOONA","IA",
"","","SRVCE","","Product Totals","0.00","84.06","-84.06","","0.00","",

"9914","09/22/20","SURVEY","3178","SOUTH WATER SIGNS","250.00","107.25","142.75","57.10","","","","","","","","16","H & R BLOCK- SOUTHWATER SIGNS","DES MOINES","IA",
"","","SURVEY","","Product Totals","250.00","107.25","142.75","57.10","0.00","",

"9780","06/29/20","VINYL","4779","EAGLE SIGN CO.","0.00","490.31","-490.31","","","","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"","","VINYL","","Product Totals","0.00","490.31","-490.31","","0.00","",

"","","","","Salesperson  Totals","1358.27","1591.45","-233.18","-17.17","0.00","",

"9591","01/31/20","ALUM","2906","AMERICAN MARKING","292.95","158.87","134.08","45.77","","ADAM","0.030","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"9610","02/11/20","ALUM","2906","AMERICAN MARKING","359.88","192.90","166.98","46.40","","ADAM","0.030","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"9636","03/06/20","ALUM","2906","AMERICAN MARKING","470.21","206.81","263.40","56.02","","ADAM","0.030","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"9865","08/25/20","ALUM","2906","AMERICAN MARKING","166.84","92.07","74.77","44.82","","ADAM","0.030","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"","","ALUM","","Product Totals","1289.88","650.65","639.23","49.56","0.00","ADAM",

