"06 NOV 2025","16:23:27","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 11/01/23 through 10/31/24",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",

"11722","02/25/24","ALUM","3016","NW TRAILER","160.00","94.16","65.84","41.15","","","","","","","","DEFAULT","NEW WORLD TRAILER","ADEL","IA",
"","","ALUM","","Product Totals","160.00","94.16","65.84","41.15","0.00","",

"11809","04/17/24","BANNER","6237","CORINA KEELING","0.00","86.00","-86.00","","","","","","","","","DEFAULT","CORINA KEELING","NORWALK","IA",
"11810","04/30/24","BANNER","6238","CHAD NELSON","35.00","33.00","2.00","5.71","","","","","","","","DEFAULT","CHAD NELSON","WEST DES MOINES","IA",
"","","BANNER","","Product Totals","35.00","119.00","-84.00","-240.00","0.00","",

"11647","01/31/24","MISC","77950","NAGLE SIGNS  INC.","202.93","147.73","55.20","27.20","","","","","","","","519","SUBWAY - NAGLE","WEST DES MOINES","IA",
"11873","05/23/24","MISC","29800","COMMONWEALTH ELECTRIC","43.68","8.91","34.77","79.60","","","","","","","","DEFAULT","COMMONWEALTH ELECTRIC","Des Moines","IA",
"11919","06/21/24","MISC","5943","MATT ZELIADT","40.00","0.00","40.00","100.00","","","","","","","","DEFAULT","MATT ZELIADT","DES MOINES","IA",
"11986","08/19/24","MISC","4779","EAGLE SIGN CO.","0.00","790.55","-790.55","","","","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"12046","10/09/24","MISC","4779","EAGLE SIGN CO.","0.00","69.21","-69.21","","","","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"","","MISC","","Product Totals","286.61","1016.40","-729.79","-254.63","0.00","",

"11647","01/31/24","PRMT","77950","NAGLE SIGNS  INC.","60.00","47.29","12.71","21.18","118.08","","","","","","","519","SUBWAY - NAGLE","WEST DES MOINES","IA",
"","","PRMT","","Product Totals","60.00","47.29","12.71","21.18","118.08","",

"SC8026","06/06/24","REPFCE","4725","KEMIN INDUSTRIES","0.00","0.00","0.00","","","","","","","","","8","KEMIN INDUSTRIES","DES MOINES","IA",
"","","REPFCE","","Product Totals","0.00","0.00","0.00","","0.00","",

"SC7858","12/31/23","SRVCE","77950","NAGLE SIGNS  INC.","210.00","205.92","4.08","1.94","","","","","","","","496","KWIK STAR # 1158 - NAGLE SIGNS","AMES","IA",
"SC7871","12/31/23","SRVCE","77950","NAGLE SIGNS  INC.","108.03","99.06","8.97","8.30","","","","","","","","114","KUM & GO - NAGLE SIGNS","CLIVE","IA",
"SC7923","02/12/24","SRVCE","6188","DEATON TRUCK & AUTO","0.00","108.09","-108.09","","","","","","","","","DEFAULT","DEATON TRUCK & AUTO","DALLAS CENTER","IA",
"SC7999","04/11/24","SRVCE","6074","ORANGE LEAF","0.00","145.52","-145.52","","","","","","","","","DEFAULT","ORANGE LEAF","ANKENY","IA",
"SC8026","06/06/24","SRVCE","4725","KEMIN INDUSTRIES","0.00","0.00","0.00","","","","","","","","","8","KEMIN INDUSTRIES","DES MOINES","IA",
"SC8039","06/06/24","SRVCE","4424","WESTAR FOODS -HARDEE'S","0.00","154.44","-154.44","","","","","","","","","1","HARDEE´S/ CLIVE IA","CLIVE","IA",
"SC8047","05/28/24","SRVCE","40190","ERICKSON BALMER CONSTRUCTION","0.00","282.06","-282.06","","","","","","","","","3","GATEWAY CROSSING","JOHNSTON","IA",
"SC8052","06/12/24","SRVCE","6265","HANWAH Q CELLS","0.00","240.24","-240.24","","","","","","","","","DEFAULT","HANWAH Q CELLS","ANKENY","IA",
"SC8061","06/24/24","SRVCE","2883","BLAIR IMAGE ELEMENTS","0.00","137.28","-137.28","","","","","","","","","9","MINI - BLAIR IMAGE ELEMENTS","CLIVE","IA",
"SC8105","08/02/24","SRVCE","2209","HUBBELL REALTY","0.00","165.83","-165.83","","","","","","","","","34","IOWA TRUST AND SAVINGS BANK- HUBBELL REALTY COMPANY","CLIVE","IA",
"SC8112","09/16/24","SRVCE","5177","AMERICAN POSTAL WORKERS","0.00","68.64","-68.64","","","","","","","","","DEFAULT","AMERICAN POSTAL WORKERS","DES MOINES","IA",
"SC8115","08/26/24","SRVCE","4958","PRIDE SIGNS","0.00","187.56","-187.56","","","","","","","","","12","TARGET #2909 - PRIDE SIGNS","WAUKEE","IA",
"SC8118","08/27/24","SRVCE","6091","TEXAS ROAD HOUSE","0.00","51.48","-51.48","","","","","","","","","DEFAULT","TEXAS ROAD HOUSE","WEST DES MOINES","IA",
"SC8149","09/17/24","SRVCE","5702","PERRY CHAMBER OF COMMERCE","0.00","102.96","-102.96","","","","","","","","","DEFAULT","PERRY CHAMBER OF COMMERCE","PERRY","IA",
"","","SRVCE","","Product Totals","318.03","1949.08","-1631.05","-512.86","0.00","",

"11974","07/31/24","SURVEY","5607","TONES SPICES- B & G FOODS","0.00","85.80","-85.80","","","","","","","","","DEFAULT","TONES SPICES- B & G FOODS","ANKENY","IA",
"","","SURVEY","","Product Totals","0.00","85.80","-85.80","","0.00","",

"11819","04/25/24","VINYL","4779","EAGLE SIGN CO.","0.00","75.00","-75.00","","","","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"12046","10/09/24","VINYL","4779","EAGLE SIGN CO.","0.00","500.33","-500.33","","","","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"","","VINYL","","Product Totals","0.00","575.33","-575.33","","0.00","",

"11891","06/17/24","WARMFG","39850","EMC INSURANCE GROUP","0.00","547.16","-547.16","","","","","","","","","DEFAULT","EMC INSURANCE GROUP","Des Moines","IA",
"SC7837","11/30/23","WARMFG","18600","CAT SCALE","0.00","145.30","-145.30","","","","","","","","","958","CAT #3251","LA GRANDE","OR",
"","","WARMFG","","Product Totals","0.00","692.46","-692.46","","0.00","",

"","","","","Salesperson  Totals","859.64","4579.52","-3719.88","-432.73","118.08","",

"11428","09/25/24","DRCT","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","14230.45","11709.73","2520.72","17.71","","ADAM","0.030","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"11428","09/25/24","DRCT","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","14006.78","9817.67","4189.11","29.91","","ADAM","0.030","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"11428","09/25/24","DRCT","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","27899.56","18965.70","8933.86","32.02","","ADAM","0.030","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"11428","09/25/24","DRCT","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","13747.93","9525.84","4222.09","30.71","","ADAM","0.030","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"11428","09/25/24","DRCT","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","13717.27","10365.39","3351.88","24.44","","ADAM","0.030","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"11428","09/25/24","DRCT","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","6348.45","5776.96","571.49","9.00","","ADAM","0.030","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"11428","09/25/24","DRCT","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","6348.45","5325.86","1022.59","16.11","","ADAM","0.030","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"11428","09/25/24","DRCT","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","12221.59","9769.11","2452.48","20.07","","ADAM","0.030","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"11428","09/25/24","DRCT","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","6348.45","4271.36","2077.09","32.72","","ADAM","0.030","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"11428","09/25/24","DRCT","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","4652.66","3871.41","781.25","16.79","","ADAM","0.030","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"","","DRCT","","Product Totals","119521.59","89399.03","30122.56","25.20","0.00","ADAM",

"11428","09/25/24","MISC","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","0.00","105.11","-105.11","","","ADAM","0.030","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"","","MISC","","Product Totals","0.00","105.11","-105.11","","0.00","ADAM",

"","","","","Salesperson ADAM Totals","119521.59","89504.14","30017.45","25.11","0.00","ADAM",

"11724","03/04/24","01","77950","NAGLE SIGNS  INC.","52.50","0.00","52.50","100.00","","HOUSE","","","","","","523","STOP N GO-NAGLE","DES MOINES","IA",
"","","01","","Product Totals","52.50","0.00","52.50","100.00","0.00","HOUSE",

"12016","08/22/24","ALUM","4095","JOHN BOYT INDUSTRIAL SEWING","101.30","66.55","34.75","34.30","","HOUSE","","","","","","DEFAULT","John Boyt Industrial Sewing","Urbandale","IA",
"","","ALUM","","Product Totals","101.30","66.55","34.75","34.30","0.00","HOUSE",

"11533","02/19/24","BLDG","77950","NAGLE SIGNS  INC.","995.95","520.93","475.02","47.70","","HOUSE","","","","","","502","TRICKLE´S TIRE - NAGLE","AMES","IA",
"","","BLDG","","Product Totals","995.95","520.93","475.02","47.70","0.00","HOUSE",

"11470","02/12/24","MISC","77950","NAGLE SIGNS  INC.","4894.00","4454.07","439.93","8.99","","HOUSE","","","","","","497","SUBWAY","ATLANTIC","IA",
"11470","02/12/24","MISC","77950","NAGLE SIGNS  INC.","9005.90","5664.96","3340.94","37.10","","HOUSE","","","","","","497","SUBWAY","ATLANTIC","IA",
"11470","02/12/24","MISC","77950","NAGLE SIGNS  INC.","4731.78","4037.48","694.30","14.67","","HOUSE","","","","","","497","SUBWAY","ATLANTIC","IA",
"11665","01/17/24","MISC","6057","HARMONY WEST DES MOINES","69.50","45.74","23.76","34.19","","HOUSE","","","","","","DEFAULT","HARMONY HEALTH CARE","WEST DES MOINES","IA",
"11689","02/12/24","MISC","77950","NAGLE SIGNS  INC.","221.08","154.88","66.20","29.94","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"12006","09/19/24","MISC","77950","NAGLE SIGNS  INC.","3.50","2.82","0.68","19.43","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"12026","08/26/24","MISC","4440","VALLEY CHURCH","35.00","19.80","15.20","43.43","","JEFF","","","","","","DEFAULT","VALLEY CHURCH ","WEST DES MOINES","IA",
"","","MISC","","Product Totals","18960.76","14379.75","4581.01","24.16","0.00","HOUSE",

"SC7952","07/11/24","MONMNT","77950","NAGLE SIGNS  INC.","3298.71","2941.41","357.30","10.83","","HOUSE","","","","","","234","LOVE´S #411 - NAGLE SIGNS","DES MOINES","IA",
"","","MONMNT","","Product Totals","3298.71","2941.41","357.30","10.83","0.00","HOUSE",

"11533","02/19/24","PRMT","77950","NAGLE SIGNS  INC.","0.00","0.00","0.00","","","HOUSE","","","","","","502","TRICKLE´S TIRE - NAGLE","AMES","IA",
"","","PRMT","","Product Totals","0.00","0.00","0.00","","0.00","HOUSE",

"11533","02/19/24","REPFCE","77950","NAGLE SIGNS  INC.","759.02","444.81","314.21","41.40","","HOUSE","","","","","","502","TRICKLE´S TIRE - NAGLE","AMES","IA",
"11644","01/31/24","REPFCE","77950","NAGLE SIGNS  INC.","621.28","490.73","130.55","21.01","","HOUSE","","","","","","217","TOBACCO OUTLET - NAGLE SIGNS","DES MOINES","IA",
"12005","08/29/24","REPFCE","77950","NAGLE SIGNS  INC.","565.28","457.60","107.68","19.05","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"SC7787","12/21/23","REPFCE","77950","NAGLE SIGNS  INC.","2443.40","1954.86","488.54","19.99","","HOUSE","","","","","","372","COUNTRY INN & SUITES - NAGLE SIGNS","GRINNELL","IA",
"","","REPFCE","","Product Totals","4388.98","3348.00","1040.98","23.72","0.00","HOUSE",

"SC7743","12/31/23","SRVCE","77950","NAGLE SIGNS  INC.","1575.00","1471.13","103.87","6.59","","HOUSE","","","","","","493","KUM & GO - NAGLE SIGNS","WINTERSET","IA",
"SC7787","12/21/23","SRVCE","77950","NAGLE SIGNS  INC.","1218.83","1190.37","28.46","2.34","","HOUSE","","","","","","372","COUNTRY INN & SUITES - NAGLE SIGNS","GRINNELL","IA",
"SC7797","11/01/23","SRVCE","77950","NAGLE SIGNS  INC.","122.50","120.12","2.38","1.94","","HOUSE","","","","","","10","KUM & GO","DESOTO","IA",
"SC7799","11/17/23","SRVCE","77950","NAGLE SIGNS  INC.","280.00","274.56","5.44","1.94","","HOUSE","","","","","","94","KUM & GO # 4098","WINDSOR HEIGHTS","IA",
