"06 NOV 2025","16:26:18","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 11/01/18 through 10/31/19",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",

"9160","04/29/19","BANNER","5490","ICARE","902.55","528.83","373.72","41.41","-396.14","","","","","","","DEFAULT","ICARE","URBANDALE","IA",
"","","BANNER","","Product Totals","902.55","528.83","373.72","41.41","-396.14","",

"9366","10/08/19","BLDG","5542","UNISHIPPERS","2604.00","1302.00","1302.00","50.00","","","","","","","","DEFAULT","INTERNATIONAL AGRI-CENTER","Tulare","CA",
"","","BLDG","","Product Totals","2604.00","1302.00","1302.00","50.00","0.00","",

"8206","08/08/19","MISC","4779","EAGLE SIGN CO.","0.00","1011.51","-1011.51","","","","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"9213","05/26/19","MISC","2906","AMERICAN MARKING","175.14","97.32","77.82","44.43","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"9249","06/19/19","MISC","4547","DANA GREFE","97.96","55.90","42.06","42.94","","","","","","","","DEFAULT","DANA GREFE","WOODWARD","IA",
"9392","09/11/19","MISC","114250","THOMPSON FARM","67.13","67.13","0.00","0.00","","","","","","","","DEFAULT","THOMPSON FARM","Guthrie Center","IA",
"","","MISC","","Product Totals","340.23","1231.86","-891.63","-262.07","0.00","",

"SC5561","11/19/18","SRVCE","5401","ANKENY CITY HALL","0.00","51.48","-51.48","","","","","","","","","1","ANKENY POLICE DEPARTMENT","ANKENY","IA",
"SC5741","04/16/19","SRVCE","5366","MIDWEST MATTRESS","325.00","189.43","135.57","41.71","","","","","","","","DEFAULT","MIDWEST MATTRESS","URBANDALE","IA",
"SC5820","07/10/19","SRVCE","4958","PRIDE SIGNS","0.00","53.63","-53.63","","","","","","","","","6","TARGET - PRIDE SIGNS","DES MOINES","IA",
"SC5844","08/20/19","SRVCE","2708","JNB SIGNS","0.00","109.00","-109.00","","","","","","","","","3","FIVE GUYS","AMES","IA",
"SC5902","09/24/19","SRVCE","5012","INTERSTATE SIGN CRAFTERS  LLC","0.00","99.97","-99.97","","","","","","","","","3","WELLS FARGO","PELLA","IA",
"SC5913","10/29/19","SRVCE","5565","I 80 TRAILERS","0.00","67.04","-67.04","","","","","","","","","DEFAULT","I 80 TRAILERS","DE SOTO","IA",
"","","SRVCE","","Product Totals","325.00","570.55","-245.55","-75.55","0.00","",

"","","","","Salesperson  Totals","4171.78","3633.24","538.54","12.91","-396.14","",

"9260","07/19/19","ALUM","5518","AMES CONSTRUCTION","450.00","306.96","143.04","31.79","","ADAM","0.030","","","","","DEFAULT","AMES CONSTRUCTION","WEST VALLEY CITY","UT",
"9365","08/30/19","ALUM","5518","AMES CONSTRUCTION","2247.18","1211.96","1035.22","46.07","","ADAM","0.030","","","","","DEFAULT","AMES CONSTRUCTION","WEST VALLEY CITY","UT",
"","","ALUM","","Product Totals","2697.18","1518.92","1178.26","43.68","0.00","ADAM",

"9355","10/23/19","INSTL","4018","SIGNTECH ELECTRICAL ADVERTISING  INC.","1406.76","495.12","911.64","64.80","","ADAM","0.030","","","","","31","WELLS FARGO - SIGNTECH","DES MOINES","IA",
"9355","10/23/19","INSTL","4018","SIGNTECH ELECTRICAL ADVERTISING  INC.","2453.87","1821.00","632.87","25.79","","ADAM","0.030","","","","","31","WELLS FARGO - SIGNTECH","DES MOINES","IA",
"9355","10/23/19","INSTL","4018","SIGNTECH ELECTRICAL ADVERTISING  INC.","252.47","96.58","155.89","61.75","","ADAM","0.030","","","","","31","WELLS FARGO - SIGNTECH","DES MOINES","IA",
"9355","10/23/19","INSTL","4018","SIGNTECH ELECTRICAL ADVERTISING  INC.","211.45","311.40","-99.95","-47.27","","ADAM","0.030","","","","","31","WELLS FARGO - SIGNTECH","DES MOINES","IA",
