Part Number,Short Description,Inventory Type,Inventory UOM,Purchase UOM,Qty On Hand,Unit Cost,List Price,Accounting Cost,User 1 Cost,User 2 Cost,Last Actual Cost,Average Cost
214-4620,#6 X 1/2 HWHSMS - SHEET METAL SCREW,HRDWRE,EA,EA,0,0.0429,0.08,0.0429,0.0429,0,0.04,0.0049
214-4630,#6 X 3/4 TORQUE HEAD SMS,HRDWRE,EA,EA,0,0.06,0.105,0.06,0,0,0,0
214-4640,#6 X 1 SHEET METAL SCREW,HRDWRE,EA,EA,0,0.02,0.035,0.02,0,0,0.02,0.02
214-4645,"#8 x 3/8"" HWHSMS",HRDWRE,EA,EA,0,0.0153,0.02678,0.0153,0,0,0,0.0153
214-4650,#8 X 1/2 SHEET METAL SCR ,HRDWRE,EA,EA,0,0.025,0.04375,0.025,0.0189,0,0.025,0.025
214-4652,"#8 x 1/2"" PHSMS Black",HRDWRE,EA,EA,1257,0.0366,,0.0366,0.0366,0,0.0366,0.0366
214-4653,"#8 x 3/8"" PHSMS ",HRDWRE,EA,EA,0,0.035,0.06125,0.035,0,0,0.035,0
214-4654,"#8 x 3/4"" PHSMS",HRDWRE,EA,EA,0,0.016,0.028,0.016,0,0,0.0158,0.016
214-4655,"#8 X 1/2"" PHILLIPS WAFER LATH SHARP POINT SCREW",HRDWRE,EA,EA,-594,0.0163,0.02853,0.0163,0,0,41.6658,41.67
214-4656,"#8 X 1/2"" Lath trim cap) screw",HRDWRE,EA,EA,2244,0.119,0.20825,0.119,0,0,0.1035,0.1175
214-4660,#8 X 3/4 SHEET METAL SCR,HRDWRE,EA,EA,0,0.0127,0.03,0.0127,0.0127,0,0.0127,0.0127
214-4670,#8 X 1 SHEET METAL SCREW,HRDWRE,EA,EA,0,0.1149,0.07,0.1149,0.1149,0,0.0624,0.1149
214-4680,#8 X 1-1/4 SHEET METAL SCREW,HRDWRE,EA,EA,0,0.0598,0.12,0.0598,0.0598,0,0.0688,0.0649
214-4690,#8 X 1-1/2 SHEET METAL SC,HRDWRE,EA,EA,0,0.0325,0.06,0.0325,0.0325,0,0,0
214-4700,#8 X 2 SHEET METAL SCREW,HRDWRE,EA,EA,0,0.0589,0.09,0.0589,0.0589,0,0.06,0.0589
214-4710,#10 X 1/2 SHEET METAL SC,HRDWRE,EA,EA,3396,0.02295,0.07,0.023,0.0094,0,0.023,0.032
214-4712,"#10 x 1/2"" HWHSMS - Black",HRDWRE,EA,EA,4050,0.08136,0.14238,0.0814,0.034,0,0.0859,0.0791
214-4720,#10 X 3/4 SHEET METAL SCR,HRDWRE,EA,EA,0,0.03,0.0525,0.03,0.0277,0,0.027,0.03
214-4730,#10 X 1 SHEET METAL SCREW,HRDWRE,EA,EA,0,0.0253,0.12,0.0253,0.0253,0,0.0318,0.0253
214-4740,#10 X 1.25 S M SCREW,HRDWRE,EA,EA,0,0.0578,0.11,0.0578,0.0578,0,0,0
214-4750,#10 X 1-1/2 SHEET MTL SCR,HRDWRE,EA,EA,0,0.0191,0.03343,0.0191,0.0119,0,0.02,0.012
214-4760,#10 X 2 HWHSMS,HRDWRE,EA,EA,0,0.1478,0.28,0.1478,0.1478,0,0.0148,0.0726
214-4770,10 X 2-1/2 SHEET METAL SCREW,HRDWRE,EA,EA,0,0.1071,0.22,0.1071,0.1071,0,0,0
214-4780,#10 X 3 SHEET METAL SCRW,HRDWRE,EA,EA,0,0.1476,0.26,0.1476,0.1476,0,0,0
214-4785,"#12 x 1/2"" HWHSMS",HRDWRE,EA,EA,0,0.015,0.02625,0.015,0.015,0,0.02,0.015
214-4786,"#12 x 1/2"" HWHSMS - BLACK",HRDWRE,EA,EA,0,0.0747,0.13073,0.0747,0.0747,0,0,0
214-4790,#12 X 1 SHEET METAL SCREW,HRDWRE,EA,EA,0,0.0341,0.06,0.0341,0.0341,0,0,0
214-4800,#12 X 1.5 SHEET METAL SCR,HRDWRE,EA,EA,0,0.0156,0.03,0.0156,0.0156,0,0,0
214-4810,#12 X 2 SHEET METAL SCREW,HRDWRE,EA,EA,0,0.1,0.175,0.1,0.0193,0,0.1,0.0348
214-4820,#12 X 3 SHEET METAL SCREW,HRDWRE,EA,EA,0,0.1,0.175,0.1,0,0,0.1,0.0228
214-4830,#14 X 3/4 SHEET METAL SCREW,HRDWRE,EA,EA,0,0.0796,0.14,0.0796,0.0796,0,0,0
214-4840,#14 X 1 SHEET METAL SCREW,HRDWRE,EA,EA,0,0.0589,0.1,0.0589,0.0589,0,0,0
214-4850,#14 X 1-1/2 SHEET METAL SCREW,HRDWRE,EA,EA,0,0.06,0.105,0.06,0,0,0,0
214-4860,#14 X 2 SHEET METAL SCREW,HRDWRE,EA,EA,0,0.0733,0.39,0.0733,0.0733,0,0,0
214-4870,#14 X 2-1/2 SHEET METAL SCREW,HRDWRE,EA,EA,0,0.21,0.37,0.21,0.21,0,0,0
214-4880,#14 X 3 SHEET METAL SCREW,HRDWRE,EA,EA,0,0.0647,0.12,0.0647,0.0647,0,0,0
214-4885,"#14 X 4"" HWHSMS",HRDWRE,EA,EA,0,0.2833,0.49578,0.2833,0,0,0,0
214-4890,#06 X 1 WOOD SCREW,HRDWRE,EA,EA,0,0.1027,0.18,0.1027,0.1027,0,0,0
214-4900,#08 X 1/2 WOOD SCREW,HRDWRE,EA,EA,0,0.021,0.04,0.021,0.021,0,0,0
214-4910,#08 X 3/4 WOOD SCREW,HRDWRE,EA,EA,0,0.0291,0.08,0.0291,0.0291,0,0,0
214-4920,#08 X 1-1/2 WOOD SCREW,HRDWRE,EA,EA,0,0.0402,0.08,0.0402,0.0402,0,0,0
214-4930,#08 X 2-1/2 WOOD SCREW,HRDWRE,EA,EA,0,0.0601,0.12,0.0601,0.0601,0,0,0
214-4940,#12 WOOD SCREW,HRDWRE,EA,EA,0,0.0637,0.11,0.0637,0.0637,0,0,0
214-4950,#14 X 1-1/2 WOOD SCREW,HRDWRE,EA,EA,0,0.07,0.14,0.07,0.07,0,0,0
214-4960,2 WOOD SCREW,HRDWRE,EA,EA,0,0.0189,0.05,0.0189,0.0189,0,0,0
214-4970,3 WOOD SCREW,HRDWRE,EA,EA,0,0.0384,0.08,0.0384,0.0384,0,0,0
214-4980,4 WOOD SCREW,HRDWRE,EA,EA,0,0.03,0.08,0.03,0.03,0,0,0
214-4985,"1"" Alum Spacer",HRDWRE,EA,EA,0,0.25,,0.25,0.25,0,0.2969,0.25
214-4990,1/4 X 1-1/4 AIR STAPLES,HRDWRE,LB,LB,0,7.2725,10.95,7.2725,7.2725,0,0,0
214-4995,3/16” aluminum weld studs,HRDWRE,EA,EA,1225,0.73424,1.28492,0.7342,0,0,0.6102,0.6537
214-5000,"2"" STUDS X 3/16 ALUMINUM",HRDWRE,EA,EA,-220,0.4784,0.8372,0.4784,0.1878,0,0.4784,0.1878
214-5010,"2.5"" STUDS X 3/16 ALUMINUM",HRDWRE,EA,EA,0,0.0767,0.13,0.0767,0.0767,0,0,0
214-5020,"3"" STUDS X 3/16 ALUMINUM",HRDWRE,EA,EA,275,0.3768,0.6594,0.3768,0.0767,0,0.25,0.3768
214-5030,"2"" STUDS X 1/4 ALUMINUM",HRDWRE,EA,EA,0,0.0767,0.13,0.0767,0.0767,0,0,0
214-5040,10-24 X 1-1/2 SS THRD STUDS,HRDWRE,EA,EA,0,0.2964,0.52,0.2964,0.2964,0,0,0
214-5050,10-24 X 3 SS THREADED STUDS,HRDWRE,EA,EA,0,0.53,0.93,0.53,0.53,0,0,0
214-5060,10-32 X 1-1/4 ALUM STUDS,HRDWRE,EA,EA,0,0.0775,0.14,0.0775,0.0775,0,0,0
214-5065,"1/2"" x 3 1/2"" Stud",HRDWRE,EA,EA,0,0.25,0.4375,0.25,0,0,0,0
214-5068,"7/8"" x 3 1/2"" Stud",HRDWRE,EA,EA,0,0.8846,,0.8846,0.8846,0,0,0
214-5070,"4"" STUDS 10-24 ALUMINUM",HRDWRE,EA,EA,0,0.15,0.2625,0.15,0.15,0,0.166,0.1162
214-5080,"6"" STUDS 10-24 ALUMINUM",HRDWRE,EA,EA,0,0.5887,0.64,0.5887,0.5887,0,1.289,0.5887
214-5090,1/4-20 X 2 BRASS STUDS,HRDWRE,EA,EA,0,0.0468,0.08,0.0468,0.0468,0,0,0
214-5100,2 STUDS 10-24 3/16 BRAS,HRDWRE,EA,EA,0,0.0667,0.12,0.0667,0.0667,0,0,0
214-5110,6-32 X 1-1/2 SS THREADED STUDS,HRDWRE,EA,EA,0,0.1814,0.32,0.1814,0.1814,0,0,0
214-5120,1/8 6-32 STANLESS STEEL STUDS,HRDWRE,EA,EA,0,0.1878,0.33,0.1878,0.1878,0,0,0
214-5130,6-32 C 3 SS THREADED STUDS,HRDWRE,EA,EA,0,0.334,0.58,0.334,0.334,0,0,0
214-5140,"Plex Block 3/16"" x 1/2""",HRDWRE,EA,EA,0,0.09,,0.09,0.09,0,0,0
214-5145,"3/8"" Clear Tubing",HRDWRE,FT,FT,0,0.49,,0.49,0.49,0,0,0
214-5150,3/16 THREADED ROD STEEL,HRDWRE,FT,PC,0,0.1233,0.22,0.1233,0.1233,0,0.77,0
214-5151,3/16 THREADED ROD STEEL,HRDWRE,FT,PC,0,0.1233,0.22,0.1233,0.1233,0,1.2333,0.9686
214-5152,3/16 THREADED ROD STEEL,HRDWRE,FT,PC,0,0.9,1.575,0.9,0.1233,0,1.2938,0.9
214-5153,3/16 THREADED ROD Aluminum,HRDWRE,LF,LF,0,0.205,0.35875,0.205,0,0,0.9,0
214-5160,1/4 THREADED ROD,HRDWRE,FT,PC,0,0.1429,0.26,0.1429,0.1429,0,0.1846,0.1431
214-5161,1/4 THREADED ROD,HRDWRE,FT,PC,0,0.75,1.3125,0.75,0.1429,0,0.1808,0.75
214-5162,1/4 THREADED ROD,HRDWRE,FT,PC,0,0.185,1.3125,0.185,0.1429,0,1.11,4.5
214-5170,1/4 STAINLESS STEEL THRD ROD,HRDWRE,FT,PC,0,0.8017,1.15,0.8017,0.8017,0,0,0
214-5171,1/4 STAINLESS STEEL THRD ROD,HRDWRE,FT,PC,0,0.8017,1.15,0.8017,0.8017,0,0,0
214-5172,1/4 STAINLESS STEEL THRD ROD,HRDWRE,FT,PC,0,0.8017,1.15,0.8017,0.8017,0,0,0
214-5180,5/16 THREADED ROD,HRDWRE,FT,PC,0,0.3617,0.63,0.3617,0.3617,0,0,0
214-5181,5/16 THREADED ROD,HRDWRE,FT,PC,0,0.3617,0.63,0.3617,0.3617,0,0,0
214-5182,5/16 THREADED ROD,HRDWRE,FT,PC,0,0.3617,0.63,0.3617,0.3617,0,0,0
214-5190,3/8 THREADED ROD,HRDWRE,FT,PC,2,2.05,2.48,2.05,2.05,0,0,0
214-5191,3/8 THREADED ROD,HRDWRE,FT,PC,0,2.05,2.48,2.05,2.05,0,0.76,2.05
214-5192,3/8 THREADED ROD,HRDWRE,FT,PC,0,2.05,2.48,2.05,2.05,0,0,0
214-5193,3/8 THREADED ROD,HRDWRE,FT,PC,0,1.23,2.48,1.23,2.05,0,1.23,1.3029
214-5200,3/8 STAINLESS THREADED ROD,HRDWRE,FT,PC,0,2.985,4.88,2.985,2.985,0,0,0
214-5201,3/8 STAINLESS THREADED ROD,HRDWRE,FT,PC,0,2.985,4.88,2.985,2.985,0,0,0
214-5202,3/8 STAINLESS THREADED ROD,HRDWRE,FT,PC,0,2.985,4.88,2.985,2.985,0,0,0
214-5203,3/8 STAINLESS THREADED ROD,HRDWRE,FT,PC,0,2.985,4.88,2.985,2.985,0,0,0
214-5204,3/8 STAINLESS Steel ROD,HRDWRE,FT,PC,0,3.28334,5.7458,3.2833,0,0,3.7389,3.2833
214-5210,1/2 THREADED ROD,HRDWRE,FT,PC,0,1.0671,1.1,1.0671,1.0671,0,0,0
214-5211,1/2 THREADED ROD,HRDWRE,FT,PC,0,1.0671,1.1,1.0671,1.0671,0,0,0
214-5212,1/2 THREADED ROD,HRDWRE,FT,PC,0,1.0671,1.86743,1.0671,1.0671,0,0,0
214-5213,1/2 THREADED ROD,HRDWRE,FT,PC,0,1.0671,1.1,1.0671,1.0671,0,1.25,1.0675
214-5214,1/2 THREADED ROD,HRDWRE,FT,PC,0,1.0671,1.1,1.0671,1.0671,0,0,0
214-5220,1/2 STAINLESS STEEL THRD ROD,HRDWRE,FT,PC,0,4.7983,4.11,4.7983,4.7983,0,0,0
214-5221,1/2 STAINLESS STEEL THRD ROD,HRDWRE,FT,PC,0,4.7983,4.11,4.7983,4.7983,0,0,0
214-5222,1/2 STAINLESS STEEL THRD ROD,HRDWRE,FT,PC,0,4.7983,4.11,4.7983,4.7983,0,0,0
214-5223,1/2 STAINLESS STEEL THRD ROD,HRDWRE,FT,PC,0,4.7983,4.11,4.7983,4.7983,0,5.2083,4.7983
214-5224,1/2 STAINLESS STEEL THRD ROD,HRDWRE,FT,PC,0,4.7983,4.11,4.7983,4.7983,0,0,0
214-5230,5/8 THREADED ROD,HRDWRE,FT,PC,0,0.7171,1.25,0.7171,0.7171,0,0,0
214-5231,5/8 THREADED ROD,HRDWRE,FT,PC,0,0.7171,1.25,0.7171,0.7171,0,0,0
214-5232,5/8 THREADED ROD,HRDWRE,FT,PC,0,0.7171,1.25,0.7171,0.7171,0,0,0
214-5233,5/8 THREADED ROD,HRDWRE,FT,PC,0,0.7171,1.25,0.7171,0.7171,0,0,0
214-5234,5/8 THREADED ROD,HRDWRE,FT,PC,0,0.7171,1.25,0.7171,0.7171,0,0,0
214-5240,3/4 THREADED ROD,HRDWRE,FT,PC,0,1.6554,3,1.6554,1.6554,0,0,0
214-5241,3/4 THREADED ROD,HRDWRE,FT,PC,0,1.6554,3,1.6554,1.6554,0,0,0
214-5242,3/4 THREADED ROD,HRDWRE,FT,PC,0,1.6554,3,1.6554,1.6554,0,0,0
214-5243,3/4 THREADED ROD,HRDWRE,FT,PC,0,1.6554,3,1.6554,1.6554,0,0,0
214-5244,3/4 THREADED ROD,HRDWRE,FT,FT,0,1.6554,3,1.6554,1.6554,0,1.5,1.6553
214-5250,7/8 THREADED ROD,HRDWRE,FT,PC,0,1.1967,4.19,1.1967,1.1967,0,0,0
214-5251,7/8 THREADED ROD,HRDWRE,FT,PC,0,1.1967,4.19,1.1967,1.1967,0,0,0
214-5252,7/8 THREADED ROD,HRDWRE,FT,PC,0,1.1967,4.19,1.1967,1.1967,0,0,0
214-5253,7/8 THREADED ROD,HRDWRE,FT,PC,0,1.1967,4.19,1.1967,1.1967,0,0,0
214-5254,7/8 THREADED ROD,HRDWRE,FT,PC,0,1.1967,4.19,1.1967,1.1967,0,0,0
214-5260,6-32 THREADED ROD,HRDWRE,FT,PC,0,0.09,0.15,0.09,0.09,0,0,0
214-5261,6-32 THREADED ROD,HRDWRE,FT,PC,0,0.09,0.15,0.09,0.09,0,0,0
214-5262,6-32 THREADED ROD,HRDWRE,FT,PC,0,0.09,0.15,0.09,0.09,0,0,0
214-5263,6-32 THREADED ROD,HRDWRE,FT,PC,0,0.09,0.15,0.09,0.09,0,0,0
214-5270,1 THREADED ROD,HRDWRE,FT,PC,0,2.3917,5,2.3917,2.3917,0,0,0
214-5271,1 THREADED ROD,HRDWRE,FT,PC,0,2.3917,5,2.3917,2.3917,0,0,0
214-5272,1 THREADED ROD,HRDWRE,FT,PC,0,2.3917,5,2.3917,2.3917,0,0,0
214-5273,1 THREADED ROD,HRDWRE,FT,PC,0,2.3917,5,2.3917,2.3917,0,0,0
214-5274,1 THREADED ROD,HRDWRE,FT,PC,0,2.3917,5,2.3917,2.3917,0,0,0
214-5280,10-24 SS THREADED ROD,HRDWRE,FT,PC,0,1.152,2.02,1.152,1.152,0,0,0
214-5281,10-24 SS THREADED ROD,HRDWRE,FT,PC,0,1.152,2.02,1.152,1.152,0,0,0
214-5282,10-24 SS THREADED ROD,HRDWRE,FT,PC,0,1.152,2.02,1.152,1.152,0,0,0
214-5283,10-24 SS THREADED ROD,HRDWRE,FT,PC,0,1.152,2.02,1.152,1.152,0,0,0
214-5290,3/16 TURNBUCKLES,HRDWRE,EA,EA,0,0.678,2,0.678,0.678,0,0,0
214-5300,1/4 X 4 TURNBUCKLE,HRDWRE,EA,EA,0,2.1975,3.92,2.1975,2.1975,0,0,0
214-5310,5/16 X 4 TURNBUCKLE,HRDWRE,EA,EA,0,7.31,12.79,7.31,7.31,0,0,0
214-5320,5/16 X 4-1/2 TURNBUCKLE,HRDWRE,EA,EA,0,4.0446,7.08,4.0446,4.0446,0,0,0
214-5325,"5/16"" x 6"" eye/eye turnbuckle",HRDWRE,EA,EA,0,4,,4,4,0,0,0
214-5330,3/8 X 6 TURNBUCKLES,HRDWRE,EA,EA,0,4.08,7.14,4.08,4.08,0,0,0
214-5340,2 TURNBUCKLES,HRDWRE,EA,EA,0,0.758,1.33,0.758,0.758,0,0,0
214-5350,AWNING WALL CLIPS/NAGLE,HRDWRE,EA,EA,0,0.42,0.74,0.42,0.42,0,0,0
214-5360,#90301 WALL ANGLE BRKT,HRDWRE,EA,EA,0,2.49,4.3575,2.49,1.072,0,2.49,1.6797
214-5370,90 - 6 WALL ANGLE #303,HRDWRE,EA,EA,0,1.64,2.87,1.64,1.64,0,1.45,1.64
214-5380,45 WALL ANGLE #304,HRDWRE,EA,EA,208,1.66,2.905,1.66,0.587,0,1.83,1.6481
214-5390,90305 WALL ANGLE 45 X 5,HRDWRE,EA,EA,0,1.352,2.37,1.352,1.352,0,0,0
214-5400,90306 WALL ANGLE 90 X 5,HRDWRE,EA,EA,0,1.15,1.97,1.15,1.15,0,0,0
214-5410,90 WALL ANGLE #90311,HRDWRE,EA,EA,0,0.96,1.68,0.96,0,0,0,0
214-5420,1/8 FLAT WASHERS,HRDWRE,EA,EA,0,0.0158,0.04,0.0158,0.0158,0,0,0
214-5430,3/16 FLAT WASHERS,HRDWRE,EA,EA,2838,0.00962,0.05,0.0096,0.0037,0,0.0096,0.0096
214-5440,1/4 FLAT WASHERS,HRDWRE,EA,EA,1144,0.008,0.014,0.008,0.0044,0,0.012,0.0097
214-5450,5/16 FLAT WASHERS,HRDWRE,EA,EA,431,0.0365,0.07,0.0365,0.0365,0,0.05,0.0365
214-5460,3/8 FLAT WASHERS,HRDWRE,EA,EA,1491,0.0305,0.05338,0.0305,0.0148,0,0.0405,0.0304
214-5470,1/2 FLAT WASHERS,HRDWRE,EA,EA,1575,0.06,0.105,0.06,0.0366,0,0.06,0.0614
214-5480,A325 1/2 FLAT WASHERS,HRDWRE,EA,EA,0,0.1,0.18,0.1,0.1,0,0,0
214-5490,1/2 STAINLESS STEEL WASHER,HRDWRE,EA,EA,0,0.1195,0.15,0.1195,0.1195,0,0.2,0.0712
214-5500,5/8 FLAT WASHERS,HRDWRE,EA,EA,6,0.10816,0.18928,0.1082,0.0501,0,2.0223,3.3133
214-5510,5/8 FLAT WASHERS/A325,HRDWRE,EA,EA,481,0.10024,0.17542,0.1002,0.066,0,0.1428,0.1002
214-5520,"3/4"" flat washers",HRDWRE,EA,EA,459,0.11032,,0.1103,0.1103,0,2.8783,0.0063
214-5530,7/8 FLAT WASHERS,HRDWRE,EA,EA,442,0.2829,0.5,0.2829,0.2829,0,0.3788,0.0551
214-5540,#6 FLAT WASHERS,HRDWRE,EA,EA,0,0.0133,0.02,0.0133,0.0133,0,0.0133,0.0133
214-5550,"1"" flat washers",HRDWRE,EA,EA,18,0.09,,0.09,0.09,0,0.3963,0.09
214-5560,1-1/8 FLAT WASHERS,HRDWRE,EA,EA,279,0.5524,0.9667,0.5524,0.91,0,0.56,0.5336
214-5570,"1 1/4"" Washer",HRDWRE,EA,EA,0,0.5132,0.8981,0.5132,0,0,0,0
214-5572,"1 3/8"" Washer",HRDWRE,EA,EA,0,0.213,0.37275,0.213,0,0,0,0
214-5575,"1 1/2"" Washer",HRDWRE,EA,EA,0,0.41,0.7175,0.41,0.41,0,0.4119,0.2852
214-5580,1-3/4 FLAT WASHERS 2H,HRDWRE,EA,EA,0,2.02,3.54,2.02,2.02,0,0,0
214-5585,"2 1/4"" Washer",HRDWRE,EA,EA,0,0.85,,0.85,0.85,0,0,0
214-5590,3/16 FENDER WASHERS,HRDWRE,EA,EA,100,0.0466,0.1,0.0466,0.0466,0,0.1307,0.1307
214-5600,1/4 FENDER WASHERS,HRDWRE,EA,EA,72,0.1242,0.21735,0.1242,0.0126,0,17.5879,0.6094
214-5610,1/2 HARDENED WASHER,HRDWRE,EA,EA,0,0.023,0.04,0.023,0.023,0,0,0
214-5620,5/8 HARDENED WASHER,HRDWRE,EA,EA,0,0.04,0.07,0.04,0,0,0,0
214-5630,1/4 LOCK WASHERS,HRDWRE,EA,EA,168,0.009,0.06,0.009,0.009,0,0,0
214-5635,5/16 LOCK WASHERS,HRDWRE,EA,EA,0,0.01624,0.02842,0.0162,0,0,0.0162,0
214-5640,3/8 LOCK WASHERS,HRDWRE,EA,EA,50,0.0188,0.0329,0.0188,0.0028,0,0.0188,0.0153
214-5650,1/2 LOCK WASHERS,HRDWRE,EA,EA,135,0.06,0.12,0.06,0.06,0,0,0
214-5660,5/8 LOCK WASHERS,HRDWRE,EA,EA,0,0.32,0.56,0.32,0.32,0,0,0
214-5670,3/4 LOCK WASHERS,HRDWRE,EA,EA,0,0.2825,0.38,0.2825,0.2825,0,0,0
214-5673,"7/8"" Flat Washer - SAE",HRDWRE,EA,EA,0,0.14,0.245,0.14,0,0,0,0
214-5680,1 LOCK WASHER,HRDWRE,EA,EA,0,0.25,0.4375,0.25,0,0,0,0
214-5685,"1 1/8"" Lock Washer",HRDWRE,EA,EA,0,0.1612,0.2821,0.1612,0,0,0,0
214-5690,1-1/4 LOCK WASHERS,HRDWRE,EA,EA,0,0.316,0.56,0.316,0.316,0,0,0
214-5695,"1 1/2"" Lock Washer",HRDWRE,EA,EA,0,0.4825,0.84438,0.4825,0,0,0,0
214-5697,"1 3/4"" Lock Washer",HRDWRE,EA,EA,0,1.88,3.29,1.88,0,0,0,0
214-5710,2-1/4 x 90 ANCHOR BOLTS,HRDWRE,EA,EA,0,65.66,114.91,65.66,65.66,0,0,0
214-5720,"1 1/16"" STEEL HINGE",HRDWRE,FT,PC,0,0.97,1.7,0.97,0.97,0,0,0
214-5730,Gripper Sleeve - TJ,HRDWRE,EA,EA,0,0.1,0.175,0.1,0,0,0,0
214-5740,Silver  SO-CAP 4 Cap ,HRDWRE,EA,EA,0,3.8368,,3.8368,3.8368,0,3.692,3.8369
214-5750,T-BAR HANGERS,HRDWRE,EA,EA,0,2.5,4.38,2.5,2.5,0,0,0
214-5760,TJ Hangar Bolt,HRDWRE,EA,EA,0,0.52,,0.52,0.52,0,0.4048,0.52
214-5761,Pizzazz large aluminum stand-off,HRDWRE,EA,SET,0,7.3075,16.38438,7.3075,0,0,7.3075,13.7352
214-5762,Pizzazz small stand-offs,HRDWRE,EA,EA,0,21.04,36.82,21.04,0,0,21.04,35.71
215-0100,20 MIL LEXAN,FLEXAN,SF,SF,0,2.3069,4.04,2.3069,2.3069,0,0,0
215-0110,"1/16 LEXAN, CLEAR",FLEXAN,SF,SF,0,2.2847,3.12,2.2847,2.2847,0,2.5972,2.2847
215-0120,.080 CLEAR LEXAN,FLEXAN,SF,SF,0,1.9688,3.45,1.9688,1.9688,0,0,0
215-0130,.093 CLEAR LEXAN,FLEXAN,SF,SF,0,2.125,3.72,2.125,2.125,0,0,0
215-0140,.118 CLEAR LEXAN,FLEXAN,SF,SF,0,2.65,5.67,2.65,2.8477,0,2.793,2.65
215-0145,.118 SGC100 112C Clear Lexan,FLEXAN,SF,RL,824,1.99,3.4825,1.99,0,0,1.99,1.9
215-0150,.118 MATTE CLEAR LEXAN,FLEXAN,SF,SF,0,4.03,7.0525,4.03,0,0,3.2449,4.03
215-0155,".118 RED #2793 X 52"" LEXAN",FLEXAN,SF,LF,0,3.0496,5.3368,3.0496,2.59,0,4.1438,3.0496
215-0160,.118 S/G WHITE LEXAN,FLEXAN,SF,SF,0,1.96,6.09,1.96,3.3374,0,3.0292,1.96
215-0170,.125 CLEAR LEXAN,FLEXAN,SF,SF,0,2.75,4.81,2.75,2.75,0,0,0
215-0180,.125 WHITE LEXAN,FLEXAN,SF,SF,0,2.25,4.72,2.25,2.25,0,0,0
215-0189,.150 CLEAR LEXAN,FLEXAN,SF,SF,21,4.18,7.315,4.18,0,0,3.685,4.18
215-0190,.150 CLEAR LEXAN,FLEXAN,SF,SH,0,3.35,6.88,3.35,3.9338,0,4.4641,3.9338
215-0191,.150 Clear Polycarbonate,FLEXAN,SF,RL,0,3.97,6.9475,3.97,0,0,2.54,2.5102
215-0193,".150"" S/G CLEAR LEXAN ",FLEXAN,SF,SH,0,3.35,6.02,3.35,0,0,3.4488,1.72
215-0195,.150 SGC100 112C Clear Lexan,FLEXAN,SF,RL,0,2.3843,4.17253,2.3843,0,0,2.3847,2.3843
215-0197,.150 Clear Polycarbonate,FLEXAN,SF,RL,0,2.54,4.445,2.54,0,0,2.539,2.4059
215-0199,.150 White Polycarbonate,FLEXAN,SF,SF,294,3.02118,5.28707,3.0212,0,0,3.0618,3.0258
215-0200,.150 S/G WHITE LEXAN,FLEXAN,SF,SH,0,4.14,7.245,4.14,4.14,0,4.1452,4.14
215-0205,.150 S/G WHITE LEXAN,FLEXAN,SF,EA,0,4.75,8.3125,4.75,0,0,4.0086,3.9118
215-0210,.177 CLEAR LEXAN,FLEXAN,SF,SF,0,3.95,8.4525,3.95,3.2775,0,4.1108,3.95
215-0220,".177"" S/G WHITE LEXAN",FLEXAN,SF,LF,0,4.1377,7.78,4.1377,4.1377,0,2.7213,4.1377
215-0221,".177"" S/G 410 WHITE LEXAN",FLEXAN,SF,SF,0,2.9879,5.22883,2.9879,4.88,0,2.9879,4.88
215-0230,SIGN BOND CEMENT/LEXAN GLUE,FLEXAN,OZ,PT,0,0.4954,0.86695,0.4954,0.4954,0,0,0
215-0535,.177 WHITE FF #2447 PLEXIGLAS,FPLEX,SF,SF,275,2.8,7.5775,2.8,0,0,2.6758,3.3475
215-02001,.150  WHITE LEXAN,FLEXAN,SF,SF,0,4.21,7.3675,4.21,4.14,0,4.0605,4.21
215-02005,".150 WHITE LEXAN 76""",FLEXAN,SF,SF,0,3.73,7.245,3.73,4.14,0,2.8746,3.73
216-0100,1 X 10 LUMBER,FLUMBR,LF,LF,-547,0.348,1.42,0.348,0.348,0,10.9354,10.9355
216-0151,"1"" X 4"" X 12' SPF WOOD FRAMING",FLUMBR,FT,PC,-386,0.75,1.50792,0.75,0.233,0,0.69,0.75
216-0251,"2"" X 4"" X 20' SPF WOOD FRAMING",FLUMBR,FT,PC,2972,1.075,2.62493,1.075,0.36,0,0.7167,1.3975
216-0252,"2"" X 4"" X 12' SPF WOOD FRAMING",FLUMBR,LF,PC,-121,0.5,0.875,0.5,0.36,0,0.5,0.5
216-0253,"2"" X 4"" X 8' SPF WOOD FRAMING",FLUMBR,LF,PC,0,0.43667,0.7642,0.4367,0,0,0.41,0.4367
216-0280,2 X 8 PINE LUMBER,FLUMBR,LF,LF,0,1.1263,1.97,1.1263,1.1263,0,0,0
216-0290,2 X 8 WOLMANIZED LUMBER,FLUMBR,LF,LF,0,0.7731,1.35,0.7731,0.7731,0,0,0
216-0300,4X4 WOLMANIZED POSTS,FLUMBR,LF,LF,0,1.8493,1.85,1.8493,1.8493,0,1.6837,1.8493
216-0310,4X6 WOLMANIZED LUMBER,FLUMBR,LF,LF,0,1.5463,2.71,1.5463,1.5463,0,0,0
216-0320,6 X 6 WOLMANIZED LUMBER,FLUMBR,LF,LF,0,4.235,7.41,4.235,4.235,0,3.255,4.235
216-0330,1 X 3 R.S. CEDAR,FLUMBR,LF,LF,0,0.24,0.44,0.24,0.24,0,0,0
